,code,causal_event,causal_type,avg_strength,sentence_nb,text,causal_,caused_
11,1,""" That is her own , own , carriage . """""""" _ """"""""She has millions of money ; and she can have anything she wants -- Jane says so ! """""""" ",IREC,2,1_2,""""""""" That is her own , own , carriage  .  """"""""_"""""""" She has millions of money ; and she can have anything she wants -- Jane says so ! """"""""",""" That is her own , own , carriage . """""""" "," """"""""She has millions of money ; and she can have anything she wants -- Jane says so ! """""""" "
12,1," she can have anything she wants  """""""" _ """"""""She is very pretty , too",IREC,2,2_3,""""""""" She has millions of money ; and she can have anything she wants -- Jane says so ! """"""""_"""""""" She is very pretty , too ; but she is so pale and has such big , sorrowful , black eyes  . "," she can have anything she wants  """""""" "," """"""""She is very pretty , too"
13,1,the new calculator plant_The town planners got a little overexcited ,IRAC,2,2,The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community  . ,the new calculator plant,The town planners got a little overexcited 
14,1,the new calculator plant_ a broken lease and a big empty building two years in,IREC,2,2_3,The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community  . _Ended up all it had to offer was a broken lease and a big empty building two years in  . ,the new calculator plant, a broken lease and a big empty building two years in
15,1,town planners got a little overexcited in the nineties_we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives,IREC,3,2_1,"The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community  . _We hit the one light in town on a green and head north , going past three bars and two pizza places before we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives  . ",town planners got a little overexcited in the nineties,we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives
16,1,It ’s all like a very complicated game_I wonder if anyone really knows,IREC,2,1_2,"… It ’s all like a very complicated game , thought Suzy as she spun back towards the Supernumerary  . _I wonder if anyone really knows what ’s going on  . ",It ’s all like a very complicated game,I wonder if anyone really knows
17,1,When we were little we ’d make this bridge_to see how many Barbies we could get to balance on it,IREC,3,3,When we were little we ’d make this bridge and try to see how many Barbies we could get to balance on it  . ,When we were little we ’d make this bridge,to see how many Barbies we could get to balance on it
18,1,we were little we ’d make this bridge_She reaches between our beds,IREC,2,3_1,"When we were little we ’d make this bridge and try to see how many Barbies we could get to balance on it  . _She reaches between our beds , which are just far apart enough for us to touch each other if we both try  . ",we were little we ’d make this bridge,She reaches between our beds
19,1,we were little we ’d make this bridge_I hold out my hand,IREC,2,3_2,"When we were little we ’d make this bridge and try to see how many Barbies we could get to balance on it  . _I hold out my hand , too  . ",we were little we ’d make this bridge,I hold out my hand
20,1,Had suspended herself from the completely reliable pipe_and so in death she was wedged in the awkward gap between it and a white-painted window,IRAC,3,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing  .   .   .  That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations  .   .   .  while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from  .   .   .  that smell  . ",Had suspended herself from the completely reliable pipe,and so in death she was wedged in the awkward gap between it and a white-painted window
21,1,cubicle was partitioned into existence_she was wedged in the awkward gap between it and a white-painted window,IRAC,2,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing  .   .   .  That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations  .   .   .  while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from  .   .   .  that smell  . ",cubicle was partitioned into existence,she was wedged in the awkward gap between it and a white-painted window
22,1,the hospital altered its own cellular structure_white-painted window that had been halved lengthwise,IRAC,2,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing  .   .   .  That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations  .   .   .  while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from  .   .   .  that smell  . ",the hospital altered its own cellular structure,white-painted window that had been halved lengthwise
23,1,"first suicide_her papery skin , oh so fine , crinkled into the flannelette",IREC,3,1_2,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing  .   .   .  That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations  .   .   .  while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from  .   .   .  that smell  . _Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie  . ",first suicide,"her papery skin , oh so fine , crinkled into the flannelette"
24,1,had suspended herself from the completely reliable pipe_in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence,IRAC,2,2,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie  . ",had suspended herself from the completely reliable pipe,in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence
25,1,"She ’d fallen asleep_The train jerked , waking Kate . ",IREC,3,3_2,"She ’d fallen asleep against the window , and her forehead was cold  . _CHAPTER TWO Miss Crumley ’s Revenge The train jerked , waking Kate  . ",She ’d fallen asleep,"The train jerked , waking Kate . "
26,1,dreary-looking island at the first view_I thought that no one could dwell in it ,IRAC,3,1,"It was a sad , dreary-looking island at the first view , and I thought that no one could dwell in it ; but as I looked closer at its shores , I saw that they were covered with children at play  . ",dreary-looking island at the first view,I thought that no one could dwell in it 
27,1,Football season was over_there was nothing good to watch on TV,IRAC,3,1,"My classmates all clamor , shouting out ridiculous things like “ He did n’t have anyone to hang out with on Saturday night ” or “ Football season was over so there was nothing good to watch on TV  .  ”",Football season was over,there was nothing good to watch on TV
28,1,work through the day_She ’ll have no choice now but to deny her nocturnal tendencies,IRAC,3,2,She ’ll have no choice now but to deny her nocturnal tendencies and work through the day  . ,work through the day,She ’ll have no choice now but to deny her nocturnal tendencies
29,1,as I got older and started getting game_the name took on a new meaning ,IRAC,2,1,"But , as I got older and started getting game , the name took on a new meaning  . ",as I got older and started getting game,the name took on a new meaning 
30,1,"I ’d score , rebound , or steal a ball_ Keep it funky , Filthy !",IREC,3,2_3,"And even though I was n’t into all that jazz , every time I ’d score , rebound , or steal a ball , Dad would jump up smiling and screamin ’ , That ’s my boy out there  . _Keep it funky , Filthy !","I ’d score , rebound , or steal a ball"," Keep it funky , Filthy !"
31,1,who can get a Swallow to tell him stories of the great world_happy is the Squab,IRAC,2,2,""""""""" Is n't it good to be home , home , home ! """""""" sang one Swallow  . ",who can get a Swallow to tell him stories of the great world,happy is the Squab
32,1,"so full is the little town of the undisturbed past_that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors",IRAC,3,1,"A little farther on , but close at hand , is a cloister with beautiful marble columns and tombs , and a colossal wood-carved Calvary , and beside that a small and very rich chapel ; indeed , so full is the little town of the undisturbed past , that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors , and it is so clean , and so still , and so noble , by reason of its monuments and its historic color , that I marvel much no one has ever cared to sing its praises  . ",so full is the little town of the undisturbed past,"that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors"
33,1,"There is the girdle of the mountains all around_and that alone means strength , peace , majesty",IRAC,2,2,"The old pious , heroic life of an age at once more restful and more brave than ours still leaves its spirit there , and then there is the girdle of the mountains all around , and that alone means strength , peace , majesty  . ",There is the girdle of the mountains all around,"and that alone means strength , peace , majesty"
34,1,In a full-grown wolf_it was downright dangerous,IRAC,3,1,"It had been cute when he was a pup but was downright dangerous in a full-grown wolf , even if he was n’t Chaos-ridden  . ",In a full-grown wolf,it was downright dangerous
35,1,Retrieved its contents_he opened one of the boxes,IRAC,3,3,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick  . ",Retrieved its contents,he opened one of the boxes
36,1,He opened one of the boxes_He exited his soundproofed glass cubicle,IREC,3,3_1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick  . _He exited his soundproofed glass cubicle , walking past a half-dozen other chambers — some transparent , some opaque — in which duty officers were handling other aspects of this same mission  . ",He opened one of the boxes,He exited his soundproofed glass cubicle
37,1,He exited his soundproofed glass cubicle_walking past a half-dozen other chambers,IREC,3,3_1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick  . _He exited his soundproofed glass cubicle , walking past a half-dozen other chambers — some transparent , some opaque — in which duty officers were handling other aspects of this same mission  . ",He exited his soundproofed glass cubicle,walking past a half-dozen other chambers
38,1,"He opened one of the boxes_Knowlton crossed through the thin, processed air of the main control room",IREC,3,3_2,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick  . _Knowlton crossed through the thin , processed air of the main control room , nodding to the tech crew , and entered a small walk-in vault containing a dozen strongboxes  . ",He opened one of the boxes,"Knowlton crossed through the thin, processed air of the main control room"
39,1,He opened one of the boxes_entered a small walk-in vault containing a dozen strongboxes,IREC,3,3_2,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick  . _Knowlton crossed through the thin , processed air of the main control room , nodding to the tech crew , and entered a small walk-in vault containing a dozen strongboxes  . ",He opened one of the boxes,entered a small walk-in vault containing a dozen strongboxes
40,1,"He ’d never done any serious plumbing _he had been staring at the pipes and fixtures , trying to decide how to proceed . ",IREC,3,2_1,"He ’d never done any serious plumbing , and he was nervous about tearing out the wall  . _Jerry had gotten the water turned off to the bathroom upstairs , and for two hours he had been staring at the pipes and fixtures , trying to decide how to proceed  . ",He ’d never done any serious plumbing ,"he had been staring at the pipes and fixtures , trying to decide how to proceed . "
41,1,He called it quits_and sat on the other side of the cooler Holroyd had dragged out onto the tailgate,IRAC,3,3,"When he saw Holroyd , he called it quits and came down and sat on the other side of the cooler Holroyd had dragged out onto the tailgate  . ",He called it quits,and sat on the other side of the cooler Holroyd had dragged out onto the tailgate
42,1,he saw Holroyd_he called it quits and came down,IRAC,3,3,"When he saw Holroyd , he called it quits and came down and sat on the other side of the cooler Holroyd had dragged out onto the tailgate  . ",he saw Holroyd,he called it quits and came down
43,1,Aspen was my first love_all the feelings I’d been trying to let go of flooded my heart,IREC,3,2_1,"Aspen was my first love ; when I looked at him … I was his  . _He was n’t technically my boyfriend anymore — he ’d broken up with me before my name was even drawn for the Selection — but when he showed up at the palace as one of the guards , all the feelings I ’d been trying to let go of flooded my heart  . ",Aspen was my first love,all the feelings I’d been trying to let go of flooded my heart
44,1,"“ I told you I ca n’t do magic anymore , ” Agatha snapped_“ Why wo n’t you tell me anything that happened ? ” her mother asked ,",IREC,2,1_3,"“ I told you I ca n’t do magic anymore , ” Agatha snapped , closing the door behind them  . _“ Why wo n’t you tell me anything that happened ? ” her mother asked , picking her oily dome of black hair  . ","“ I told you I ca n’t do magic anymore , ” Agatha snapped","“ Why wo n’t you tell me anything that happened ? ” her mother asked ,"
45,1,Our fingers don’t glow here_I can’t do magic anynore,IREC,2,2_1,"“ Our fingers do n’t glow here  .  ”_“ I told you I ca n’t do magic anymore , ” Agatha snapped , closing the door behind them  . ",Our fingers don’t glow here,I can’t do magic anynore
46,1,"Spider had spent the summer at a soccer camp in California , getting coached by the game ’s greats_Praised your penalty kick",IREC,2,3_2,"Spider had spent the summer at a soccer camp in California , getting coached by the game ’s greats  . _Annabel fills in  . ","Spider had spent the summer at a soccer camp in California , getting coached by the game ’s greats",Praised your penalty kick
47,1,Hunting in the woods surrounding District 12 violates at least a dozen laws_is punishable by death,IRAC,3,1,Hunting in the woods surrounding District 12 violates at least a dozen laws and is punishable by death  . ,Hunting in the woods surrounding District 12 violates at least a dozen laws,is punishable by death
48,1,"To sponsor Peeta and me during the Games_Greasy Sae, the old woman who serves up soup, started a collection",IRAC,3,3,"Gale told me that Greasy Sae , the old woman who serves up soup , started a collection to sponsor Peeta and me during the Games  . ",To sponsor Peeta and me during the Games,"Greasy Sae, the old woman who serves up soup, started a collection"
49,1,"I bought him a camera , a digital Leica as all cameras are digital now_he making a mock complaint about wanting film ",IRAC,3,3,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away  . ","I bought him a camera , a digital Leica as all cameras are digital now",he making a mock complaint about wanting film 
50,1,Holding the camera in his lap_failing to look through the eyepiece or at the little screen,IRAC,3,3,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away  . ",Holding the camera in his lap,failing to look through the eyepiece or at the little screen
51,1,"I bought him a camera , a digital Leica_he making a mock complaint about wanting film",IRAC,2,3,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away  . ","I bought him a camera , a digital Leica",he making a mock complaint about wanting film
52,1,I want to start taking pictures_and so I want a camera,IREC,3,3_1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away  . _You see I have this one finger that works , a shutter finger , and so I want a camera , he said to me  . ",I want to start taking pictures,and so I want a camera
53,1,Now the chicks are lining up_You’re welcome,IREC,2,2_3,"“ I ’m saying , you used to be kinda sorry , Stay Puft , and now the chicks are lining up  . _You ’re welcome  .  ”",Now the chicks are lining up,You’re welcome
54,1,To keep her busy and quiet_her grandma always gave her stuff like this,IRAC,3,2,"As a present , it sort of sucked , but her grandma always gave her stuff like this — projects to keep her busy and quiet  . ",To keep her busy and quiet,her grandma always gave her stuff like this
55,1,"To keep her busy and quiet_in front of her, on the coffee table, was an empty scrapbook",IREC,3,2_1,"As a present , it sort of sucked , but her grandma always gave her stuff like this — projects to keep her busy and quiet  . _In front of her , on the coffee table , was an empty scrapbook  . ",To keep her busy and quiet,"in front of her, on the coffee table, was an empty scrapbook"
56,1,She’d parked it_there sat her car,IRAC,2,1,"The roof of her house when she saw it again still harbored its dark patches of damaged shingles , and there sat her car in the drive where she ’d parked it  . ",She’d parked it,there sat her car
57,1,she tried to look_With her mind aflame and her heels unsteady from what she ’d seen,IRAC,2,2,"With her mind aflame and her heels unsteady from what she ’d seen , she tried to look at the vinylsided ranch house in some born-again way  . ",she tried to look,With her mind aflame and her heels unsteady from what she ’d seen
58,1,she ’d had such a nice off-and-on Platonic case_The closest she ’d ever gotten to it were those letters from Willard Straight,IRAC,2,1,"The closest she ’d ever gotten to it were those letters from Willard Straight , on whom she ’d had such a nice off-and-on Platonic case , until the flu made off with him after the First War  . ",she ’d had such a nice off-and-on Platonic case,The closest she ’d ever gotten to it were those letters from Willard Straight
59,1,You who are fond of the game_would love it here,IRAC,3,2,"You who are fond of the game would love it here , he ’d written her from Moscow as the workers began their revolt , the year before her wedding  . ",You who are fond of the game,would love it here
60,1,"Kingdon carefully cut small locks from the kitten, the doll, and the bear_to the playroom they went",IRAC,3,1,"To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons  . ","Kingdon carefully cut small locks from the kitten, the doll, and the bear",to the playroom they went
61,1,Marjorie neatly tied them with narrow blue ribbons_to the playroom they went,IRAC,3,1,"To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons  . ",Marjorie neatly tied them with narrow blue ribbons,to the playroom they went
62,1,Carefully treasured all through the summer_these mementoes the girls put away,IRAC,3,2,"These mementoes the girls put away , and carefully treasured all through the summer  . ",Carefully treasured all through the summer,these mementoes the girls put away
63,1,Carefully treasured all through the summer_Marjorie nearly tied them with narrow blue ribbons,IREC,3,2_1,"These mementoes the girls put away , and carefully treasured all through the summer  . _To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons  . ",Carefully treasured all through the summer,Marjorie nearly tied them with narrow blue ribbons
64,1,Head north_going past three bars and two pizza places,IRAC,2,1,"We hit the one light in town on a green and head north , going past three bars and two pizza places before we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives  . ",Head north,going past three bars and two pizza places
65,1,Looking like a Sesame Street character_people usually remembered you,IRAC,2,2,"The good thing about looking like a Sesame Street character , she thought , was that people usually remembered you  . ",Looking like a Sesame Street character,people usually remembered you
66,1,"She reaches between our beds_I hold out my hand, too",IREC,3,1_2,"She reaches between our beds , which are just far apart enough for us to touch each other if we both try  . _I hold out my hand , too  . ",She reaches between our beds,"I hold out my hand, too"
67,1,He used to take them and wear them_he’d always had a watch that was out of that drawer,IRAC,3,2,He used to take them and wear them — he always had a watch that was out of that drawer  . ,He used to take them and wear them,he’d always had a watch that was out of that drawer
68,1,"pointed to a little insect which was crawling on a sheet of paper_”"""""" Look , papa , """""""" said he , """""""" look at that insect ; how small it is !",IREC,2,1_2,"As I was one day studying in the same room with my little son , a child of ten years old , he turned towards me , and pointed to a little insect which was crawling on a sheet of paper  . _"""""""" Look , papa , """""""" said he , """""""" look at that insect ; how small it is !",pointed to a little insect which was crawling on a sheet of paper,"”"""""" Look , papa , """""""" said he , """""""" look at that insect ; how small it is !"
69,1,With rubbing_which shone bright,IRAC,3,2,"The walls were wainscoted with dark oak , as well as the floor , which shone bright with rubbing , and stag ’s antlers projected from them , on which hung a sword in its sheath , one or two odd gauntlets , an old-fashioned helmet , a gun , some bows and arrows , and two of the broad shady hats then in use , one with a drooping black feather , the other plainer and a good deal the worse for wear , both of a small size , as if belonging to a young boy  . ",With rubbing,which shone bright
70,1,"running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top_uttering a quick sharp note as the children came close upon them",IRAC,2,3,"I saw no grown people among them ; but the children were all busy -- some picking up shells ; some playing with the bright-coloured berries of a prickly dwarf-plant which grew upon those sands ; some watching the waves as they ran up and then fell back again on that shore ; some running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top , and uttering a quick sharp note as the children came close upon them : -- so some sported in one way , and some in another , but all were busily at play  . ","running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top",uttering a quick sharp note as the children came close upon them
71,1,Her voice sounded tinny and distant through the radio _ Samm bristled again at the oddness of trying to communicate without the link ,IRAC,3,3,"Her voice sounded tinny and distant through the radio , and Samm bristled again at the oddness of trying to communicate without the link  . ",Her voice sounded tinny and distant through the radio , Samm bristled again at the oddness of trying to communicate without the link 
72,1,Somehow it’s dawn_She ’ll have no choice now but to deny her nocturnal tendencies and work through the day,IREC,3,1_2,"— 2 — SOMEHOW IT ’S DAWN , red light filtering through her cloudy windows by the time Dorrie lifts her thin knife and stands poised over the largest of the wolves  . _She ’ll have no choice now but to deny her nocturnal tendencies and work through the day  . ",Somehow it’s dawn,She ’ll have no choice now but to deny her nocturnal tendencies and work through the day
73,1,Pa told him to bring a dezzen oranges_the girls smacked their lips at the thought of this rare treat,IRAC,2.5,1,"Pa told him to bring a dezzen oranges , if they war n't too high ! """""""" shouted Sol and Seth , running to the door , while the girls smacked their lips at the thought of this rare treat , and Baby threw his apple overboard , as if getting ready for a new cargo  . ",Pa told him to bring a dezzen oranges,the girls smacked their lips at the thought of this rare treat
74,1,she worked at her mom ’s Fish and Chips Shoppe_Uma had bigger fish to fry — literally,IRAC,2.5,3,"Uma had bigger fish to fry — literally , since she worked at her mom ’s Fish and Chips Shoppe  . ",she worked at her mom ’s Fish and Chips Shoppe,Uma had bigger fish to fry — literally
75,1,yet more evidence – if any were needed _ how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations,IRAC,3,2,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie  . ",yet more evidence – if any were needed , how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations
76,1,"her papery skin , oh so fine , crinkled_She was , Busner had thought, a dead dry moth",IREC,2,2_3,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie  . _She was , Busner had thought , a dead dry moth , its cellular structure decaying inside of this far larger one  . ","her papery skin , oh so fine , crinkled","She was , Busner had thought, a dead dry moth"
77,1,the pipes were put aside_they threw themselves down on the fur rug,IRAC,1.5,2,"All the afternoon the children , pipe in hand , with soap suds before them , had been blowing airy bubbles that caught the gleams of a hundred flying rainbows -- but now in the fading daylight , the pipes were put aside , and they threw themselves down on the fur rug , and looked with thoughtful eyes into the caverns of the fire  . ",the pipes were put aside,they threw themselves down on the fur rug
78,1,"the pipes were put aside_"""""""" What can we do now ? """""""" they cried , """""""" Wo n't _ you _ make us some bubbles ? """"""""",IREC,2.5,2_3,"All the afternoon the children , pipe in hand , with soap suds before them , had been blowing airy bubbles that caught the gleams of a hundred flying rainbows -- but now in the fading daylight , the pipes were put aside , and they threw themselves down on the fur rug , and looked with thoughtful eyes into the caverns of the fire  . _"""""""" What can we do now ? """""""" they cried , """""""" Wo n't _ you _ make us some bubbles ? """"""""",the pipes were put aside,""""""""" What can we do now ? """""""" they cried , """""""" Wo n't "
79,1,"The sunshine came through a large bay-window , glazed in diamonds_but in parts the glass had been broken and had never been mended",IRAC,2,1,"The sunshine came through a large bay-window , glazed in diamonds , and with long branches of a vine trailing across it , but in parts the glass had been broken and had never been mended  . ","The sunshine came through a large bay-window , glazed in diamonds",but in parts the glass had been broken and had never been mended
80,1,"a stranger , who threw himself off his horse and hurried up to Mr. Bassett in the yard , with some brief message_the farmer drop his ax and look so sober",IRAC,3,3,"It was a stranger , who threw himself off his horse and hurried up to Mr .  Bassett in the yard , with some brief message that made the farmer drop his ax and look so sober that his wife guessed at once some bad news had come ; and crying , """""""" Mother 's wuss !","a stranger , who threw himself off his horse and hurried up to Mr. Bassett in the yard , with some brief message",the farmer drop his ax and look so sober
81,1,"it is so clean , and so still , and so noble , by reason of its monuments and its historic color_that I marvel much no one has ever cared to sing its praises",IRAC,2.5,1,"A little farther on , but close at hand , is a cloister with beautiful marble columns and tombs , and a colossal wood-carved Calvary , and beside that a small and very rich chapel ; indeed , so full is the little town of the undisturbed past , that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors , and it is so clean , and so still , and so noble , by reason of its monuments and its historic color , that I marvel much no one has ever cared to sing its praises  . ","it is so clean , and so still , and so noble , by reason of its monuments and its historic color",that I marvel much no one has ever cared to sing its praises
82,1,"Havoc jerked his head up , blinking_He can hear me ! ",IREC,3,2_3,"Havoc , quit it , Aaron thought , and Havoc jerked his head up , blinking  . _He can hear me !","Havoc jerked his head up , blinking",He can hear me ! 
83,1,feeling confused_I tilted my head,IRAC,2.5,1,"I tilted my head , leaning against the bar , feeling confused  . ",feeling confused,I tilted my head
84,1,"Hey , did I tell you guys that Mia Hamm — ”_“ Praised your penalty kick ? ” Annabel fills in",IREC,2.5,1_2,"Hey , did I tell you guys that Mia Hamm — ” “ Praised your penalty kick ? ”_Annabel fills in  . ","Hey , did I tell you guys that Mia Hamm — ”",“ Praised your penalty kick ? ” Annabel fills in
