,Unnamed: 0,code,filename,causal_event,sentence_nb,causal_type,avg_strength,agreement_score,text,batch_code,label
27,36.0,POS,WargaJasmineMyHeartAndOtherBlackHolesYA.txt,Football season was over_there was nothing good to watch on TV,1,IRAC,3.0,1,"My classmates all clamor , shouting out ridiculous things like “ He did n’t have anyone to hang out with on Saturday night ” or “ Football season was over so there was nothing good to watch on TV . ”",test1,1.0
28,37.0,POS,YorkAlissaEffigyPW.txt,work through the day_She ’ll have no choice now but to deny her nocturnal tendencies,2,IRAC,3.0,1,She ’ll have no choice now but to deny her nocturnal tendencies and work through the day .,test1,1.0
29,38.0,POS,AlexanderKwameTheCrossoverMG.txt,as I got older and started getting game_the name took on a new meaning ,1,IRAC,2.0,1,"But , as I got older and started getting game , the name took on a new meaning .",test1,1.0
31,40.0,POS,AmongtheFarmyardPeop.txt,who can get a Swallow to tell him stories of the great world_happy is the Squab,2,IRAC,2.0,1,""""""""" Is n't it good to be home , home , home ! """""""" sang one Swallow .",test1,1.0
32,41.0,POS,BimbiStoriesforChild.txt,"so full is the little town of the undisturbed past_that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors",1,IRAC,3.0,1,"A little farther on , but close at hand , is a cloister with beautiful marble columns and tombs , and a colossal wood-carved Calvary , and beside that a small and very rich chapel ; indeed , so full is the little town of the undisturbed past , that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors , and it is so clean , and so still , and so noble , by reason of its monuments and its historic color , that I marvel much no one has ever cared to sing its praises .",test1,1.0
33,42.0,POS,BimbiStoriesforChild.txt,"There is the girdle of the mountains all around_and that alone means strength , peace , majesty",2,IRAC,2.0,1,"The old pious , heroic life of an age at once more restful and more brave than ours still leaves its spirit there , and then there is the girdle of the mountains all around , and that alone means strength , peace , majesty .",test1,1.0
34,43.0,POS,BlackHollyTheGoldenTowerMG.txt,In a full-grown wolf_it was downright dangerous,1,IRAC,3.0,1,"It had been cute when he was a pup but was downright dangerous in a full-grown wolf , even if he was n’t Chaos-ridden .",test1,1.0
35,44.0,POS,BrownDanInfernoBS.txt,Retrieved its contents_he opened one of the boxes,3,IRAC,3.0,1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick .",test1,1.0
41,50.0,POS,CampbellBonnieJoAmericanSalvagePW.txt,He called it quits_and sat on the other side of the cooler Holroyd had dragged out onto the tailgate,3,IRAC,3.0,1,"When he saw Holroyd , he called it quits and came down and sat on the other side of the cooler Holroyd had dragged out onto the tailgate .",test1,1.0
42,51.0,POS,CampbellBonnieJoAmericanSalvagePW.txt,he saw Holroyd_he called it quits and came down,3,IRAC,3.0,1,"When he saw Holroyd , he called it quits and came down and sat on the other side of the cooler Holroyd had dragged out onto the tailgate .",test1,1.0
47,56.0,POS,CollinsSuzanneCatchingFireYA.txt,Hunting in the woods surrounding District 12 violates at least a dozen laws_is punishable by death,1,IRAC,3.0,1,Hunting in the woods surrounding District 12 violates at least a dozen laws and is punishable by death .,test1,1.0
48,57.0,POS,CollinsSuzanneCatchingFireYA.txt,"To sponsor Peeta and me during the Games_Greasy Sae, the old woman who serves up soup, started a collection",3,IRAC,3.0,1,"Gale told me that Greasy Sae , the old woman who serves up soup , started a collection to sponsor Peeta and me during the Games .",test1,1.0
49,58.0,POS,EverettPercivalPercivalEverettPW.txt,"I bought him a camera , a digital Leica as all cameras are digital now_he making a mock complaint about wanting film ",3,IRAC,3.0,1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1,1.0
50,59.0,POS,EverettPercivalPercivalEverettPW.txt,Holding the camera in his lap_failing to look through the eyepiece or at the little screen,3,IRAC,3.0,1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1,1.0
51,60.0,POS,EverettPercivalPercivalEverettPW.txt,"I bought him a camera , a digital Leica_he making a mock complaint about wanting film",3,IRAC,2.0,1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1,1.0
54,63.0,POS,HannahKristinFireflyLaneBS.txt,To keep her busy and quiet_her grandma always gave her stuff like this,2,IRAC,3.0,1,"As a present , it sort of sucked , but her grandma always gave her stuff like this — projects to keep her busy and quiet .",test1,1.0
56,66.0,POS,KingsolverBarbaraFlightBehaviorBS.txt,She’d parked it_there sat her car,1,IRAC,2.0,1,"The roof of her house when she saw it again still harbored its dark patches of damaged shingles , and there sat her car in the drive where she ’d parked it .",test1,1.0
57,67.0,POS,KingsolverBarbaraFlightBehaviorBS.txt,she tried to look_With her mind aflame and her heels unsteady from what she ’d seen,2,IRAC,2.0,1,"With her mind aflame and her heels unsteady from what she ’d seen , she tried to look at the vinylsided ranch house in some born-again way .",test1,1.0
58,69.0,POS,MallonThomasWatergatePW.txt,she ’d had such a nice off-and-on Platonic case_The closest she ’d ever gotten to it were those letters from Willard Straight,1,IRAC,2.0,1,"The closest she ’d ever gotten to it were those letters from Willard Straight , on whom she ’d had such a nice off-and-on Platonic case , until the flu made off with him after the First War .",test1,1.0
59,70.0,POS,MallonThomasWatergatePW.txt,You who are fond of the game_would love it here,2,IRAC,3.0,1,"You who are fond of the game would love it here , he ’d written her from Moscow as the workers began their revolt , the year before her wedding .",test1,1.0
60,71.0,POS,MarjoriesVacation.txt,"Kingdon carefully cut small locks from the kitten, the doll, and the bear_to the playroom they went",1,IRAC,3.0,1,"To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons .",test1,1.0
61,72.0,POS,MarjoriesVacation.txt,Marjorie neatly tied them with narrow blue ribbons_to the playroom they went,1,IRAC,3.0,1,"To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons .",test1,1.0
62,73.0,POS,MarjoriesVacation.txt,Carefully treasured all through the summer_these mementoes the girls put away,2,IRAC,3.0,1,"These mementoes the girls put away , and carefully treasured all through the summer .",test1,1.0
64,75.0,POS,McGinnisMindyTheFemaleoftheSpeciesYA,Head north_going past three bars and two pizza places,1,IRAC,2.0,1,"We hit the one light in town on a green and head north , going past three bars and two pizza places before we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives .",test1,1.0
65,76.0,POS,PhilbinJoannaTheDaughtersYA.txt,Looking like a Sesame Street character_people usually remembered you,2,IRAC,2.0,1,"The good thing about looking like a Sesame Street character , she thought , was that people usually remembered you .",test1,1.0
67,78.0,POS,RothPhilipEverymanPW.txt,He used to take them and wear them_he’d always had a watch that was out of that drawer,2,IRAC,3.0,1,He used to take them and wear them — he always had a watch that was out of that drawer .,test1,1.0
69,81.0,POS,ThePigeonPie.txt,With rubbing_which shone bright,2,IRAC,3.0,1,"The walls were wainscoted with dark oak , as well as the floor , which shone bright with rubbing , and stag ’s antlers projected from them , on which hung a sword in its sheath , one or two odd gauntlets , an old-fashioned helmet , a gun , some bows and arrows , and two of the broad shady hats then in use , one with a drooping black feather , the other plainer and a good deal the worse for wear , both of a small size , as if belonging to a young boy .",test1,1.0
70,82.0,POS,TheRockyIslandandOt.txt,"running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top_uttering a quick sharp note as the children came close upon them",3,IRAC,2.0,1,"I saw no grown people among them ; but the children were all busy -- some picking up shells ; some playing with the bright-coloured berries of a prickly dwarf-plant which grew upon those sands ; some watching the waves as they ran up and then fell back again on that shore ; some running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top , and uttering a quick sharp note as the children came close upon them : -- so some sported in one way , and some in another , but all were busily at play .",test1,1.0
71,83.0,POS,WellsDanRuinsYA.txt,Her voice sounded tinny and distant through the radio _ Samm bristled again at the oddness of trying to communicate without the link ,3,IRAC,3.0,1,"Her voice sounded tinny and distant through the radio , and Samm bristled again at the oddness of trying to communicate without the link .",test1,1.0
73,86.0,POS,AuntJosScrapBagVIAn.txt,Pa told him to bring a dezzen oranges_the girls smacked their lips at the thought of this rare treat,1,IRAC,2.5,2,"Pa told him to bring a dezzen oranges , if they war n't too high ! """""""" shouted Sol and Seth , running to the door , while the girls smacked their lips at the thought of this rare treat , and Baby threw his apple overboard , as if getting ready for a new cargo .",test1,1.0
74,87.0,POS,delaCruzMelissaRiseoftheIsleoftheLostMG.txt,she worked at her mom ’s Fish and Chips Shoppe_Uma had bigger fish to fry — literally,3,IRAC,2.5,2,"Uma had bigger fish to fry — literally , since she worked at her mom ’s Fish and Chips Shoppe .",test1,1.0
75,89.0,POS,SelfWillUmbrellaPW.txt,yet more evidence – if any were needed _ how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations,2,IRAC,3.0,2,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie .",test1,1.0
77,92.0,POS,SoapBubbleStoriesFo.txt,the pipes were put aside_they threw themselves down on the fur rug,2,IRAC,1.5,2,"All the afternoon the children , pipe in hand , with soap suds before them , had been blowing airy bubbles that caught the gleams of a hundred flying rainbows -- but now in the fading daylight , the pipes were put aside , and they threw themselves down on the fur rug , and looked with thoughtful eyes into the caverns of the fire .",test1,1.0
79,94.0,POS,ThePigeonPie.txt,"The sunshine came through a large bay-window , glazed in diamonds_but in parts the glass had been broken and had never been mended",1,IRAC,2.0,2,"The sunshine came through a large bay-window , glazed in diamonds , and with long branches of a vine trailing across it , but in parts the glass had been broken and had never been mended .",test1,1.0
80,95.0,POS,AuntJosScrapBagVIAn.txt,"a stranger , who threw himself off his horse and hurried up to Mr. Bassett in the yard , with some brief message_the farmer drop his ax and look so sober",3,IRAC,3.0,2,"It was a stranger , who threw himself off his horse and hurried up to Mr. Bassett in the yard , with some brief message that made the farmer drop his ax and look so sober that his wife guessed at once some bad news had come ; and crying , """""""" Mother 's wuss !",test1,1.0
81,96.0,POS,BimbiStoriesforChild.txt,"it is so clean , and so still , and so noble , by reason of its monuments and its historic color_that I marvel much no one has ever cared to sing its praises",1,IRAC,2.5,2,"A little farther on , but close at hand , is a cloister with beautiful marble columns and tombs , and a colossal wood-carved Calvary , and beside that a small and very rich chapel ; indeed , so full is the little town of the undisturbed past , that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors , and it is so clean , and so still , and so noble , by reason of its monuments and its historic color , that I marvel much no one has ever cared to sing its praises .",test1,1.0
83,98.0,POS,BrightonLoriTheMindThievesYA.txt,feeling confused_I tilted my head,1,IRAC,2.5,2,"I tilted my head , leaning against the bar , feeling confused .",test1,1.0
87,102.0,POS,EverettPercivalPercivalEverettPW.txt,"He making a mock complaint about wanting film_I want the chemicals and all, he said",3,IRAC,2.5,2,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1,1.0
92,107.0,POS,MallonThomasWatergatePW.txt,the flu made off with him after the First War_The closest she ’d ever gotten to it were those letters from Willard Straight,1,IRAC,3.0,2,"The closest she ’d ever gotten to it were those letters from Willard Straight , on whom she ’d had such a nice off-and-on Platonic case , until the flu made off with him after the First War .",test1,1.0
93,108.0,POS,McGinnisMindyTheFemaleoftheSpeciesYA,got a little overexcited in the nineties_about what they thought the new calculator plant could bring to the community ,2,IRAC,2.5,2,The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community .,test1,1.0
96,111.0,POS,SelfWillUmbrellaPW.txt,This cubicle was partitioned into existence_a white-painted window that had been halved lengthwise,1,IRAC,3.0,2,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1,1.0
97,112.0,POS,SelfWillUmbrellaPW.txt,first suicide_He saw rivulets of urine and faeces running down the gutters ,1,IRAC,3.0,2,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1,1.0
98,113.0,POS,SelfWillUmbrellaPW.txt,the hospital altered its own cellular structure_create new morphologies ,1,IRAC,3.0,2,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1,1.0
100,115.0,POS,SoapBubbleStoriesFo.txt,The pleasant glow of the blazing logs_peopled the distant corners with elfin shadows .,1,IRAC,3.0,2,"The pleasant glow of the blazing logs lighted up the circle of happy faces , and peopled the distant corners with elfin shadows .",test1,1.0
101,116.0,POS,SoapBubbleStoriesFo.txt,The pleasant glow of the blazing logs_people the distant corners with elfin shadows,1,IRAC,3.0,2,"The pleasant glow of the blazing logs lighted up the circle of happy faces , and peopled the distant corners with elfin shadows .",test1,1.0
102,117.0,POS,TheRockyIslandandOt.txt,"running after the sea-birds _which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top",3,IRAC,2.5,2,"I saw no grown people among them ; but the children were all busy -- some picking up shells ; some playing with the bright-coloured berries of a prickly dwarf-plant which grew upon those sands ; some watching the waves as they ran up and then fell back again on that shore ; some running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top , and uttering a quick sharp note as the children came close upon them : -- so some sported in one way , and some in another , but all were busily at play .",test1,1.0
103,118.0,POS,TheRockyIslandandOt.txt,Some playing with the bright-coloured berries of a prickly dwarf-plant which grew upon those sands_the children were all busy,3,IRAC,2.5,2,"I saw no grown people among them ; but the children were all busy -- some picking up shells ; some playing with the bright-coloured berries of a prickly dwarf-plant which grew upon those sands ; some watching the waves as they ran up and then fell back again on that shore ; some running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top , and uttering a quick sharp note as the children came close upon them : -- so some sported in one way , and some in another , but all were busily at play .",test1,1.0
106,121.0,POS,CampbellBonnieJoAmericanSalvagePW.txt,He ’d never done any serious plumbing_ he was nervous about tearing out the wall . ,2,IRAC,3.0,3,"He ’d never done any serious plumbing , and he was nervous about tearing out the wall .",test1,1.0
107,122.0,POS,KinneyJeffDogDaysMG.txt,I was looking forward to going to the beach_ because I ’m finally tall enough to go on the Cranium Shaker,3,IRAC,3.0,3,"splish Anyway , I was looking forward to going to the beach because I ’m finally tall enough to go on the Cranium Shaker , which is this really awesome ride that ’s on the boardwalk .",test1,1.0
108,123.0,POS,NixGarthLordSundayMG.txt,Thinking about games _ gave her an idea,3,IRAC,3.0,3,Thinking about games gave her an idea .,test1,1.0
109,124.0,POS,SoapBubbleStoriesFo.txt,the pipes were put aside_they threw themselves down on the fur rug,2,IRAC,2.33,3,"All the afternoon the children , pipe in hand , with soap suds before them , had been blowing airy bubbles that caught the gleams of a hundred flying rainbows -- but now in the fading daylight , the pipes were put aside , and they threw themselves down on the fur rug , and looked with thoughtful eyes into the caverns of the fire .",test1,1.0
110,125.0,POS,WalterJessBeautifulRuinsBS.txt,When Pasquale announced his intention to carve a tennis court into a cluster of boulders in the cliffs_he fishermen declared Pasquale even more unhinged than his father .,3,IRAC,2.67,3,"When Pasquale announced his intention to carve a tennis court into a cluster of boulders in the cliffs , however , the fishermen declared Pasquale even more unhinged than his father .",test1,1.0
111,126.0,POS,AuntJosScrapBagVIAn.txt,"it was not Gad , with the much-desired fruit . _But all were doomed to disappointment",2,IRAC,2.33,3,"But all were doomed to disappointment , for it was not Gad , with the much-desired fruit .",test1,1.0
113,128.0,POS,BlackHollyTheGoldenTowerMG.txt,"Havoc , quit it , Aaron thought_and Havoc jerked his head up , blinking",2,IRAC,2.67,3,"Havoc , quit it , Aaron thought , and Havoc jerked his head up , blinking .",test1,1.0
114,129.0,POS,CampbellBonnieJoAmericanSalvagePW.txt,"trying to decide how to proceed_for two hours he had been staring at the pipes and fixtures , ",1,IRAC,2.67,3,"Jerry had gotten the water turned off to the bathroom upstairs , and for two hours he had been staring at the pipes and fixtures , trying to decide how to proceed .",test1,1.0
116,131.0,POS,CampbellBonnieJoAmericanSalvagePW.txt,When he saw Holroyd_he called it quits,3,IRAC,3.0,3,"When he saw Holroyd , he called it quits and came down and sat on the other side of the cooler Holroyd had dragged out onto the tailgate .",test1,1.0
117,132.0,POS,CassKieraTheEliteYA.txt,he did know that there was someone at home that I was trying to get over_ while attempting to find someone else he ’d be happy with in the event I could n’t ever love him ,3,IRAC,3.0,3,"Maxon did n’t know that Aspen was in the palace , but he did know that there was someone at home that I was trying to get over , and he was graciously giving me time to move on while attempting to find someone else he ’d be happy with in the event I could n’t ever love him .",test1,1.0
118,133.0,POS,CassKieraTheEliteYA.txt,He did know that there was someone at home that I was trying to get over_attempting to find someone else he’d be happy with,3,IRAC,2.33,3,"Maxon did n’t know that Aspen was in the palace , but he did know that there was someone at home that I was trying to get over , and he was graciously giving me time to move on while attempting to find someone else he ’d be happy with in the event I could n’t ever love him .",test1,1.0
120,135.0,POS,EverettPercivalPercivalEverettPW.txt, I want to start taking pictures he said_and I told him that was a great idea,3,IRAC,3.0,3,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1,1.0
121,136.0,POS,EverettPercivalPercivalEverettPW.txt,I want to start taking pictures he said_I told him that was a great idea,3,IRAC,3.0,3,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1,1.0
122,137.0,POS,KingsolverBarbaraFlightBehaviorBS.txt,what she 'd seen_her mind aflame and her heels unsteady,2,IRAC,2.33,3,"With her mind aflame and her heels unsteady from what she ’d seen , she tried to look at the vinylsided ranch house in some born-again way .",test1,1.0
123,138.0,POS,LittleSaintElizabeth.txt,she can have anything she wants_ She has millions of money,2,IRAC,2.67,3,""""""""" She has millions of money ; and she can have anything she wants -- Jane says so ! """"""""",test1,1.0
125,140.0,POS,SelfWillUmbrellaPW.txt,That smell_with no sign of her bowels having been emptied apart from…,1,IRAC,2.33,3,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1,1.0
126,141.0,POS,SteohensJohnTheEmeraldAtlasMG.txt,"The train jerked , waking Kate ",2,IRAC,3.0,3,"CHAPTER TWO Miss Crumley ’s Revenge The train jerked , waking Kate .",test1,1.0
127,142.0,POS,WellsDanRuinsYA.txt,"“ Engage , ” said Morgan_and the spider unfurled its knives",1,IRAC,2.33,3,"“ Engage , ” said Morgan , and the spider unfurled its knives .",test1,1.0
128,143.0,POS,AlexanderKwameTheCrossoverMG.txt, I got older and started getting game_the name took on a new meaning ,1,IRAC,3.0,4,"But , as I got older and started getting game , the name took on a new meaning .",test1,1.0
129,144.0,POS,AlexanderKwameTheCrossoverMG.txt,"I ’d score , rebound , or steal a ball_Dad would jump up smiling and screamin ’ , That ’s my boy out there .",2,IRAC,3.0,4,"And even though I was n’t into all that jazz , every time I ’d score , rebound , or steal a ball , Dad would jump up smiling and screamin ’ , That ’s my boy out there .",test1,1.0
130,145.0,POS,AuntJosScrapBagVIAn.txt,Pa told him to bring a dezzen oranges_Baby threw his apple overboard,1,IRAC,3.0,4,"Pa told him to bring a dezzen oranges , if they war n't too high ! """""""" shouted Sol and Seth , running to the door , while the girls smacked their lips at the thought of this rare treat , and Baby threw his apple overboard , as if getting ready for a new cargo .",test1,1.0
131,146.0,POS,AuntJosScrapBagVIAn.txt, with some brief message _that made the farmer drop his ax and look so sober,3,IRAC,3.0,4,"It was a stranger , who threw himself off his horse and hurried up to Mr. Bassett in the yard , with some brief message that made the farmer drop his ax and look so sober that his wife guessed at once some bad news had come ; and crying , """""""" Mother 's wuss !",test1,1.0
132,147.0,POS,AuntJosScrapBagVIAn.txt,the farmer drop his ax and look so sober_wife guessed at once some bad news,3,IRAC,3.0,4,"It was a stranger , who threw himself off his horse and hurried up to Mr. Bassett in the yard , with some brief message that made the farmer drop his ax and look so sober that his wife guessed at once some bad news had come ; and crying , """""""" Mother 's wuss !",test1,1.0
133,148.0,POS,BehrensPeterLawofDreamsPW.txt,"he knew from their sun-flayed appearance , from the grass in their hair and the scratches on his father ’s face_that they had been roaming , engaging , sleeping on grass , drinking poitin , living on butter and birds ’ eggs",1,IRAC,3.0,4,"When they returned , three days later , he knew from their sun-flayed appearance , from the grass in their hair and the scratches on his father ’s face , that they had been roaming , engaging , sleeping on grass , drinking poitin , living on butter and birds ’ eggs .",test1,1.0
134,149.0,POS,BimbiStoriesforChild.txt,"it is so clean , and so still , and so noble , by reason of its monuments and its historic color _that I marvel",1,IRAC,2.75,4,"A little farther on , but close at hand , is a cloister with beautiful marble columns and tombs , and a colossal wood-carved Calvary , and beside that a small and very rich chapel ; indeed , so full is the little town of the undisturbed past , that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors , and it is so clean , and so still , and so noble , by reason of its monuments and its historic color , that I marvel much no one has ever cared to sing its praises .",test1,1.0
135,150.0,POS,CassKieraTheEliteYA.txt,When he showed up at the palace as one of the guards_all the feelings I’d been trying to let go of flooded my heart,1,IRAC,2.75,4,"He was n’t technically my boyfriend anymore — he ’d broken up with me before my name was even drawn for the Selection — but when he showed up at the palace as one of the guards , all the feelings I ’d been trying to let go of flooded my heart .",test1,1.0
